sep=;
"pers_id";"id_ca_parlinfo";"last_name";"first_name";"birth_date"
"CA_Dawson_Dennis_9999";1176;"Dawson";"Dennis";
"CA_Vellacott_Maurice_9999";1376;"Vellacott";"Maurice";
"CA_Verner_Josee_9999";1838;"Verner";"Josee";
"CA_Wells_James_9999";1961;"Wells";"James-Pearson";
"CA_Manning_Fabian_9999";2257;"Manning";"Fabian";
"CA_Doyle_Norman_9999";3440;"Doyle";"Norman-E";
"CA_Sgro_Judy_9999";3950;"Sgro";"Judy";
"CA_Cuzner_Rodger_9999";4246;"Cuzner";"Rodger";
"CA_Ringuette_Pierrette_9999";4568;"Ringuette";"Pierrette";
"CA_Eggleton_Art_9999";7329;"Eggleton";"Art";
"CA_Joyal_Serge_9999";7660;"Joyal";"Serge";
"CA_Allison_Dean_9999";7873;"Allison";"Dean";
"CA_Slogan_Joseph_9999";9121;"Slogan";"Joseph";
"CA_Warkentin_Chris_9999";11164;"Warkentin";"Chris";
"CA_Hincks_Francis_9999";11202;"Hincks";"Francis";
"CA_Murray_Joyce_9999";11665;"Murray";"Joyce";
"CA_Oliphant_Robert_9999";17274;"Oliphant";"Robert";
"CA_Freeman_Carole_9999";15756;"Freeman";"Carole";
"CA_Albas_Dan_9999";17852;"Albas";"Dan";
"CA_Bateman_Joyce_9999";17857;"Bateman";"Joyce";
"CA_Menegakis_Costas_9999";17883;"Menegakis";"Costas";
"CA_Boulerice_Alexandre_9999";17937;"Boulerice";"Alexandre";
"CA_Sellah_Djaouida_9999";17938;"Sellah";"Djaouida";
"CA_Diab_Lena_9999";18199;"Diab";"Lena-Metlege";
"CA_Gainey_Anna_9999";18230;"Gainey";"Anna";
"CA_Shields_Martin_9999";18412;"Shields";"Martin";
"CA_Kmiec_Tom_9999";18416;"Kmiec";"Tom";
"CA_Diotte_Kerry_9999";18420;"Diotte";"Kerry";
"CA_Jeneroux_Matt_9999";18423;"Jeneroux";"Matt";
"CA_Thomas_Rachael_9999";18426;"Thomas";"Rachael";
"CA_Doherty_Todd_9999";18431;"Doherty";"Todd";
"CA_MacGregor_Alistair_9999";18435;"MacGregor";"Alistair";
"CA_Blaikie_Daniel_9999";18453;"Blaikie";"Daniel";
"CA_Duguid_Terry_9999";18456;"Duguid";"Terry";
"CA_Cormier_Serge_9999";18458;"Cormier";"Serge";
"CA_Lockhart_Alaina_9999";18460;"Lockhart";"Alaina";
"CA_Finnigan_Pat_9999";18462;"Finnigan";"Pat";
"CA_Taylor_Ginette_9999";18463;"Taylor";"Ginette-Petitpas";
"CA_Ludwig_Karen_9999";18464;"Ludwig";"Karen";
"CA_McLeod_Michael_9999";18471;"McLeod";"Michael";
"CA_Fraser_Sean_9999";18472;"Fraser";"Sean";
"CA_Sahota_Ruby_9999";18486;"Sahota";"Ruby";
"CA_Dzerowicz_Julie_9999";18491;"Dzerowicz";"Julie";
"CA_Vecchio_Karen_9999";18494;"Vecchio";"Karen";
"CA_Maloney_James_9999";18496;"Maloney";"James";
"CA_Schmale_Jamie_9999";18499;"Schmale";"Jamie";
"CA_Tassi_Filomena_9999";18502;"Tassi";"Filomena";
"CA_Bossio_Mike_9999";18503;"Bossio";"Mike";
"CA_Young_Kate_9999";18511;"Young";"Kate";
"CA_Saroya_Bob_9999";18513;"Saroya";"Bob";
"CA_Sikand_Gagan_9999";18517;"Sikand";"Gagan";
"CA_Arya_Chandra_9999";18518;"Arya";"Chandra";
"CA_Damoff_Pam_9999";18524;"Damoff";"Pam";
"CA_Dabrusin_Julie_9999";18544;"Dabrusin";"Julie";
"CA_Iacono_Angelo_9999";18554;"Iacono";"Angelo";
"CA_Masse_Remi_9999";18556;"Masse";"Remi";
"CA_Fergus_Greg_9999";18565;"Fergus";"Greg";
"CA_Ste-Marie_Gabriel_9999";18566;"Ste-Marie";"Gabriel";
"CA_Trudel_Karine_9999";18567;"Trudel";"Karine";
"CA_El-Khoury_Faycal_9999";18572;"El-Khoury";"Faycal";
"CA_Berthold_Luc_9999";18578;"Berthold";"Luc";
"CA_Marcil_Simon_9999";18579;"Marcil";"Simon";
"CA_Housefather_Anthony_9999";18582;"Housefather";"Anthony";
"CA_Pauze_Monique_9999";18588;"Pauze";"Monique";
"CA_Fortin_Rheal_9999";18591;"Fortin";"Rheal-Eloi";
"CA_Iorio_Nicola_9999";18594;"Iorio";"Nicola-Di";
"CA_Ayoub_Ramez_9999";18598;"Ayoub";"Ramez";
"CA_Miller_Marc_9999";18600;"Miller";"Marc";
"CA_Nassif_Eva_9999";18601;"Nassif";"Eva";
"CA_Benson_Sheri_9999";18604;"Benson";"Sheri";
"CA_Kitchen_Robert_9999";18606;"Kitchen";"Robert-Gordon";
"CA_Kusie_Stephanie_9999";18740;"Kusie";"Stephanie";
"CA_Fortier_Mona_9999";18741;"Fortier";"Mona";
"CA_Hebert_Richard_9999";18806;"Hebert";"Richard";
"CA_Falk_Rosemarie_9999";20005;"Falk";"Rosemarie";
"CA_Rogers_Churence_9999";20007;"Rogers";"Churence";
"CA_Martel_Richard_9999";20025;"Martel";"Richard";
"CA_Barrett_Michael_9999";20051;"Barrett";"Michael";
"CA_Bendayan_Rachel_9999";20061;"Bendayan";"Rachel";
"CA_Davidson_Scot_9999";20062;"Davidson";"Scot";
"CA_Manly_Paul_9999";20067;"Manly";"Paul";
"CA_Berube_Sylvie_9999";20079;"Berube";"Sylvie";
"CA_Lemire_Sebastien_9999";20080;"Lemire";"Sebastien";
"CA_Shipley_Doug_9999";20082;"Shipley";"Doug";
"CA_Kurek_Damien_9999";20083;"Kurek";"Damien-C";
"CA_Lehoux_Richard_9999";20084;"Lehoux";"Richard";
"CA_Desbiens_Caroline_9999";20085;"Desbiens";"Caroline";
"CA_Vignola_Julie_9999";20086;"Vignola";"Julie";
"CA_Perron_Yves_9999";20088;"Perron";"Yves";
"CA_Sidhu_Maninder_9999";20089;"Sidhu";"Maninder";
"CA_Ruff_Alex_9999";20091;"Ruff";"Alex";
"CA_McLean_Greg_9999";20092;"McLean";"Greg";
"CA_Hallan_Jasraj_9999";20093;"Hallan";"Jasraj-Singh";
"CA_Sahota_Jag_9999";20094;"Sahota";"Jag";
"CA_Kelloway_Mike_9999";20095;"Kelloway";"Mike";
"CA_Epp_Dave_9999";20097;"Epp";"Dave";
"CA_Jansen_Tamara_9999";20098;"Jansen";"Tamara";
"CA_Zann_Lenore_9999";20099;"Zann";"Lenore";
"CA_Mazier_Dan_9999";20101;"Mazier";"Dan";
"CA_Vidal_Gary_9999";20102;"Vidal";"Gary";
"CA_Cumming_James_9999";20105;"Cumming";"James";
"CA_McPherson_Heather_9999";20106;"McPherson";"Heather";
"CA_Lewis_Chris_9999";20107;"Lewis";"Chris";
"CA_Atwin_Jenica_9999";20109;"Atwin";"Jenica";
"CA_Green_Matthew_9999";20110;"Green";"Matthew";
"CA_Sloan_Derek_9999";20111;"Sloan";"Derek";
"CA_Ferrada_Soraya_9999";20112;"Ferrada";"Soraya-Martinez";
"CA_Simard_Mario_9999";20113;"Simard";"Mario";
"CA_Gray_Tracy_9999";20114;"Gray";"Tracy";
"CA_Dancho_Raquel_9999";20116;"Dancho";"Raquel";
"CA_Blois_Kody_9999";20117;"Blois";"Kody";
"CA_Louis_Tim_9999";20118;"Louis";"Tim";
"CA_Guilbeault_Steven_9999";20125;"Guilbeault";"Steven";
"CA_Mathyssen_Lindsay_9999";20126;"Mathyssen";"Lindsay";
"CA_Jaczek_Helena_9999";20128;"Jaczek";"Helena";
"CA_Vis_Brad_9999";20130;"Vis";"Brad";
"CA_Bynen_Tony_9999";20131;"Bynen";"Tony-Van";
"CA_Lawrence_Philip_9999";20133;"Lawrence";"Philip";
