sep=;
"mismatch_type";"expected_parliament_ids";"days_start_vs_period";"days_end_vs_period";"res_entry_id";"pers_id";"res_entry_start";"res_entry_end";"parliament_id"
"starts_before_period,ends_after_period";"CA_NT-HC_1974";-84;56;"CA_Abbott_Anthony_1930__01";"CA_Abbott_Anthony_1930";"08jul1974";"21may1979";"CA_NT-HC_1974"
"starts_before_period,ends_after_period";"CA_NT-HC_1940;CA_NT-HC_1945";-51;57;"CA_Abbott_Douglas_1899__01";"CA_Abbott_Douglas_1899";"26mar1940";"26jun1949";"CA_NT-HC_1940;CA_NT-HC_1945"
"starts_before_period,ends_after_period";"CA_NT-HC_1949";-80;57;"CA_Abbott_Douglas_1899__02";"CA_Abbott_Douglas_1899";"27jun1949";"09aug1953";"CA_NT-HC_1949"
"starts_before_period";"CA_NT-HC_1953";-94;-1017;"CA_Abbott_Douglas_1899__03";"CA_Abbott_Douglas_1899";"10aug1953";"30jun1954";"CA_NT-HC_1953"
"starts_before_period,ends_after_period";"CA_NT-HC_1994";-84;35;"CA_Abbott_James_1942__01";"CA_Abbott_James_1942";"25oct1993";"01jun1997";"CA_NT-HC_1994"
"starts_before_period";"CA_NT-HC_1997";-112;-210;"CA_Abbott_James_1942__02";"CA_Abbott_James_1942";"02jun1997";"26mar2000";"CA_NT-HC_1997"
"ends_after_period";"CA_NT-HC_2001;CA_NT-HC_2004;CA_NT-HC_2006;CA_NT-HC_2008";1058;36;"CA_Abbott_James_1942__04";"CA_Abbott_James_1942";"23dec2003";"01may2011";"CA_NT-HC_2001;CA_NT-HC_2004;CA_NT-HC_2006;CA_NT-HC_2008"
"starts_before_period";"CA_NT-HC_1867;CA_NT-HC_1873;CA_NT-HC_1874";-47;-1411;"CA_Abbott_John_1821__01";"CA_Abbott_John_1821";"20sep1867";"06oct1874";"CA_NT-HC_1867;CA_NT-HC_1873;CA_NT-HC_1874"
"ends_after_period";"CA_NT-HC_1879;CA_NT-HC_1883";916;37;"CA_Abbott_John_1821__03";"CA_Abbott_John_1821";"17aug1881";"21feb1887";"CA_NT-HC_1879;CA_NT-HC_1883"
"starts_before_period,ends_after_period";"CA_NT-HC_1994";-84;35;"CA_Ablonczy_Diane_1949__01";"CA_Ablonczy_Diane_1949";"25oct1993";"01jun1997";"CA_NT-HC_1994"
