sep=;
"res_entry_id";"pers_id";"last_name";"first_name";"birth_date";"res_entry_start";"res_entry_end";"start_date";"end_date";"political_function";"parliament_id"
"CA_Abbott_James_1942__01";"CA_Abbott_James_1942";"Abbott";"James-Edward";"18aug1942";"25oct1993";"01jun1997";1993-10-25;1997-06-01;"NT_LE-LH_T3_NA_01";"CA_NT-HC_1994"
"CA_Ablonczy_Diane_1949__01";"CA_Ablonczy_Diane_1949";"Ablonczy";"Diane";"06may1949";"25oct1993";"01jun1997";1993-10-25;1997-06-01;"NT_LE-LH_T3_NA_01";"CA_NT-HC_1994"
"CA_Adams_Peter_1936__01";"CA_Adams_Peter_1936";"Adams";"Peter";"17apr1936";"25oct1993";"22jan2006";1993-10-25;2006-01-22;"NT_LE-LH_T3_NA_01";"CA_NT-HC_1994;CA_NT-HC_1997;CA_NT-HC_2001;CA_NT-HC_2004"
"CA_Alcock_Reginald_1948__01";"CA_Alcock_Reginald_1948";"Alcock";"Reginald-B";"16apr1948";"25oct1993";"22jan2006";1993-10-25;2006-01-22;"NT_LE-LH_T3_NA_01";"CA_NT-HC_1994;CA_NT-HC_1997;CA_NT-HC_2001;CA_NT-HC_2004"
"CA_Allmand_William_1932__03";"CA_Allmand_William_1932";"Allmand";"William-Warren";"19sep1932";"21nov1988";"24feb1997";1988-11-21;1997-02-24;"NT_LE-LH_T3_NA_01";"CA_NT-HC_1988;CA_NT-HC_1994"
"CA_Althouse_Victor_1937__02";"CA_Althouse_Victor_1937";"Althouse";"Victor-Fredrich";"15apr1937";"21nov1988";"01jun1997";1988-11-21;1997-06-01;"NT_LE-LH_T3_NA_01";"CA_NT-HC_1988;CA_NT-HC_1994"
"CA_Anawak_Jack_1950__01";"CA_Anawak_Jack_1950";"Anawak";"Jack-Iyerak";"26sep1950";"21nov1988";"15apr1997";1988-11-21;1997-04-15;"NT_LE-LH_T3_NA_01";"CA_NT-HC_1988;CA_NT-HC_1994"
"CA_Anderson_David_1937__02";"CA_Anderson_David_1937";"Anderson";"David-A";"16aug1937";"25oct1993";"22jan2006";1993-10-25;2006-01-22;"NT_LE-LH_T3_NA_01";"CA_NT-HC_1994;CA_NT-HC_1997;CA_NT-HC_2001;CA_NT-HC_2004"
"CA_Arseneault_Guy_1952__02";"CA_Arseneault_Guy_1952";"Arseneault";"Guy-H";"11may1952";"29dec1989";"01jun1997";1989-12-29;1997-06-01;"NT_LE-LH_T3_NA_01";"CA_NT-HC_1988;CA_NT-HC_1994"
"CA_Assad_Mark_1940__01";"CA_Assad_Mark_1940";"Assad";"Mark-Joseph";"14jun1940";"21nov1988";"01jun1997";1988-11-21;1997-06-01;"NT_LE-LH_T3_NA_01";"CA_NT-HC_1988;CA_NT-HC_1994"
"CA_Assadourian_Sarkis_1948__01";"CA_Assadourian_Sarkis_1948";"Assadourian";"Sarkis";"25jan1948";"25oct1993";"01jun1997";1993-10-25;1997-06-01;"NT_LE-LH_T3_NA_01";"CA_NT-HC_1994"
"CA_Asselin_Gerard_1950__01";"CA_Asselin_Gerard_1950";"Asselin";"Gerard";"19apr1950";"25oct1993";"27jun2004";1993-10-25;2004-06-27;"NT_LE-LH_T3_NA_01";"CA_NT-HC_1994;CA_NT-HC_1997;CA_NT-HC_2001"
