sep=;
"pers_id";"id_ch_parliament";"wikidata_id";"last_name";"first_name"
"CH_Abate_Fabio_1966";801;"";"Abate";"Fabio"
"CH_Abegg_Alfred_1914";1355;"";"Abegg";"Alfred"
"CH_Ackermann_Alfred_1907";1359;"";"Ackermann";"Alfred"
"CH_Ackermann_Joseph_1901";1360;"";"Ackermann";"Joseph"
"CH_Addor_Jean_1964";4154;"";"Addor";"Jean-Luc"
"CH_Addor_Jules_1894";1364;"";"Addor";"Jules-Henri"
"CH_Aebersold_Ernst_1887";1366;"";"Aebersold";"Ernst"
"CH_Aebi_Andreas_1958";3867;"";"Aebi";"Andreas"
"CH_Aebischer_Matthias_1967";4049;"";"Aebischer";"Matthias"
"CH_Aebischer_Max_1914";1172;"";"Aebischer";"Max"
"CH_Aebischer_Paul_1908";1367;"";"Aebischer";"Paul"
"CH_Aeby_Pierre_1884";1369;"";"Aeby";"Pierre"
"CH_Aeppli_Regine_1952";298;"";"Aeppli-Wartmann";"Regine"
"CH_Aeschbach_Adolf_1888";1372;"";"Aeschbach";"Adolf"
"CH_Aeschbacher_Ruedi_1941";449;"";"Aeschbacher";"Ruedi"
"CH_Aeschi_Thomas_1979";4053;"";"Aeschi";"Thomas"
"CH_Affolter_Alfred_1941";648;"";"Affolter";"Alfred"
"CH_Agostinetti_Emilio_1912";1376;"";"Agostinetti";"Emilio-Emilio"
"CH_Aguet_Pierre_1938";1;"";"Aguet";"Pierre"
"CH_Agustoni_Mario_1902";1377;"";"Agustoni";"Mario"
"CH_Akeret_Erwin_1915";649;"";"Akeret";"Erwin"
"CH_Albrecht_August_1907";1379;"";"Albrecht";"August"
"CH_Albrecht_Hans_1909";1381;"";"Albrecht";"Hans"
"CH_Albrecht_Luigi_1889";1383;"";"Albrecht";"Luigi"
"CH_Alder_Claudius_1938";650;"";"Alder";"Claudius"
"CH_Alder_Fredi_1943";300;"";"Alder";"Fredi"
"CH_Aliesch_Peter_1946";714;"";"Aliesch";"Peter"
"CH_Allemann_Evi_1978";1131;"";"Allemann";"Evi"
"CH_Allemann_Werner_1902";1385;"";"Allemann";"Werner"
"CH_Allenspach_Heinz_1928";2;"";"Allenspach";"Heinz"
"CH_Allgoewer_Walter_1912";1387;"";"Allgoewer";"Walter"
"CH_Allgoewer_Werner_1879";1388;"";"Allgoewer";"Werner"
"CH_Amacker_Kathrin_1962";3868;"";"Amacker-Amann";"Kathrin"
"CH_Amarelle_Cesla_1973";4107;"";"Amarelle";"Cesla"
"CH_Amaudruz_Celine_1979";4090;"";"Amaudruz";"Celine"
"CH_Amherd_Viola_1962";1288;"";"Amherd";"Viola"
"CH_Ammann_Regina_1963";434;"";"Ammann-Schoch";"Regina"
"CH_Ammann_Thomas_1964";4180;"";"Ammann";"Thomas"
"CH_Ammann_Ulrich_1921";552;"";"Ammann";"Ulrich"
"CH_Ammann_Walter_1946";715;"";"Ammann";"Walter"
"CH_Amstutz_Adrian_1953";1135;"";"Amstutz";"Adrian"
"CH_Anderegg_Emil_1903";1405;"";"Anderegg";"Emil"
"CH_Anet_Henri_1895";1412;"";"Anet";"Henri"
"CH_Antille_Charles_1944";406;"";"Antille";"Charles-Albert"
"CH_Antille_Rosemarie_1949";793;"";"Antille";"Rosemarie"
"CH_Antognini_Antonio_1893";1414;"";"Antognini";"Antonio"
"CH_Aregger_Manfred_1931";6;"";"Aregger";"Manfred"
"CH_Arni_Willy_1899";1417;"";"Arni";"Willy"
"CH_Arnold_Beat_1978";4155;"";"Arnold";"Beat"
"CH_Arnold_Emil_1897";1419;"";"Arnold";"Emil"
"CH_Arnold_Franz_1897";1420;"";"Arnold";"Franz"
"CH_Arnold_Max_1909";1422;"";"Arnold";"Max"
"CH_Arslan_Sibel_1980";4184;"";"Arslan";"Sibel"
"CH_Aubert_Jean_1931";620;"";"Aubert";"Jean-Francois"
