sep=;
"res_entry_id";"pers_id";"last_name";"first_name";"birth_date";"res_entry_start";"res_entry_end";"start_date";"end_date";"political_function";"parliament_id"
"DE_Abelein_Manfred_1930__3";"DE_Abelein_Manfred_1930";"Abelein";"Manfred";"20oct1930";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Abelein_Manfred_1930__4";"DE_Abelein_Manfred_1930";"Abelein";"Manfred";"20oct1930";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Abelein_Manfred_1930__5";"DE_Abelein_Manfred_1930";"Abelein";"Manfred";"20oct1930";"04nov1980";"28mar1983";1980-11-04;1983-03-28;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Abelein_Manfred_1930__6";"DE_Abelein_Manfred_1930";"Abelein";"Manfred";"20oct1930";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Abelein_Manfred_1930__7";"DE_Abelein_Manfred_1930";"Abelein";"Manfred";"20oct1930";"29mar1983";"17feb1987";1983-03-29;1987-02-17;"NT_LE_T3_NA_01";"DE_NT-BT_1983"
"DE_Achenbach_Ernst_1909__3";"DE_Achenbach_Ernst_1909";"Achenbach";"Ernst";"09apr1909";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Ackermann_Else_1933__2";"DE_Ackermann_Else_1933";"Ackermann";"Else";"06nov1933";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Adam_Irmgard_1942__1";"DE_Adam_Irmgard_1942";"Adam-Schwaetzer";"Irmgard";"05apr1942";"20dec1990";"09nov1994";1990-12-20;1994-11-09;"NT_LE_T3_NA_01";"DE_NT-BT_1990"
"DE_Adam_Irmgard_1942__2";"DE_Adam_Irmgard_1942";"Adam-Schwaetzer";"Irmgard";"05apr1942";"04nov1980";"28mar1983";1980-11-04;1983-03-28;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Adam_Irmgard_1942__3";"DE_Adam_Irmgard_1942";"Adam-Schwaetzer";"Irmgard";"05apr1942";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Adam_Irmgard_1942__4";"DE_Adam_Irmgard_1942";"Adam-Schwaetzer";"Irmgard";"05apr1942";"29mar1983";"17feb1987";1983-03-29;1987-02-17;"NT_LE_T3_NA_01";"DE_NT-BT_1983"
"DE_Adam_Ulrich_1950__6";"DE_Adam_Ulrich_1950";"Adam";"Ulrich";"09jun1950";"20dec1990";"09nov1994";1990-12-20;1994-11-09;"NT_LE_T3_NA_01";"DE_NT-BT_1990"
"DE_Adams_Rudi_1919__3";"DE_Adams_Rudi_1919";"Adams";"Rudi";"10nov1919";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Adams_Rudi_1919__4";"DE_Adams_Rudi_1919";"Adams";"Rudi";"10nov1919";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Adler_Brigitte_1944__3";"DE_Adler_Brigitte_1944";"Adler";"Brigitte";"22jun1944";"20dec1990";"09nov1994";1990-12-20;1994-11-09;"NT_LE_T3_NA_01";"DE_NT-BT_1990"
"DE_Adler_Brigitte_1944__4";"DE_Adler_Brigitte_1944";"Adler";"Brigitte";"22jun1944";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Aerssen_Jochen_1941__1";"DE_Aerssen_Jochen_1941";"Aerssen";"Jochen";"15apr1941";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Aerssen_Jochen_1941__2";"DE_Aerssen_Jochen_1941";"Aerssen";"Jochen";"15apr1941";"04nov1980";"28mar1983";1980-11-04;1983-03-28;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Ahlers_Conrad_1922__1";"DE_Ahlers_Conrad_1922";"Ahlers";"Conrad";"08nov1922";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Ahlers_Conrad_1922__2";"DE_Ahlers_Conrad_1922";"Ahlers";"Conrad";"08nov1922";"14dec1976";"07mar1980";1976-12-14;1980-03-07;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Ahrens_Karl_1924__2";"DE_Ahrens_Karl_1924";"Ahrens";"Karl";"13mar1924";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Ahrens_Karl_1924__3";"DE_Ahrens_Karl_1924";"Ahrens";"Karl";"13mar1924";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Ahrens_Karl_1924__4";"DE_Ahrens_Karl_1924";"Ahrens";"Karl";"13mar1924";"04nov1980";"28mar1983";1980-11-04;1983-03-28;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Ahrens_Karl_1924__5";"DE_Ahrens_Karl_1924";"Ahrens";"Karl";"13mar1924";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Ahrens_Karl_1924__6";"DE_Ahrens_Karl_1924";"Ahrens";"Karl";"13mar1924";"29mar1983";"17feb1987";1983-03-29;1987-02-17;"NT_LE_T3_NA_01";"DE_NT-BT_1983"
"DE_Aigner_Heinrich_1924__3";"DE_Aigner_Heinrich_1924";"Aigner";"Heinrich";"25may1924";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Aigner_Heinrich_1924__4";"DE_Aigner_Heinrich_1924";"Aigner";"Heinrich";"25may1924";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Alber_Siegbert_1936__2";"DE_Alber_Siegbert_1936";"Alber";"Siegbert";"27jul1936";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Alber_Siegbert_1936__3";"DE_Alber_Siegbert_1936";"Alber";"Siegbert";"27jul1936";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Albowitz_Ina_1943__3";"DE_Albowitz_Ina_1943";"Albowitz";"Ina-Hildegard-Martha";"26apr1943";"20dec1990";"09nov1994";1990-12-20;1994-11-09;"NT_LE_T3_NA_01";"DE_NT-BT_1990"
"DE_Albrecht_Michael_1947__1";"DE_Albrecht_Michael_1947";"Albrecht";"Michael";"25nov1947";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Alten_Odal_1922__2";"DE_Alten_Odal_1922";"Alten-Nordheim";"Odal";"21may1922";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Althammer_Walter_1928__3";"DE_Althammer_Walter_1928";"Althammer";"Walter";"12mar1928";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Althammer_Walter_1928__4";"DE_Althammer_Walter_1928";"Althammer";"Walter";"12mar1928";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Althammer_Walter_1928__5";"DE_Althammer_Walter_1928";"Althammer";"Walter";"12mar1928";"04nov1980";"28mar1983";1980-11-04;1983-03-28;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Althammer_Walter_1928__6";"DE_Althammer_Walter_1928";"Althammer";"Walter";"12mar1928";"29mar1983";"14apr1985";1983-03-29;1985-04-14;"NT_LE_T3_NA_01";"DE_NT-BT_1983"
"DE_Altherr_Walter_1946__1";"DE_Altherr_Walter_1946";"Altherr";"Walter";"11jul1946";"20dec1990";"09nov1994";1990-12-20;1994-11-09;"NT_LE_T3_NA_01";"DE_NT-BT_1990"
"DE_Amende_Andreas_1955__1";"DE_Amende_Andreas_1955";"Amende";"Andreas";"12feb1955";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Amling_Max_1934__1";"DE_Amling_Max_1934";"Amling";"Max";"28apr1934";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Amling_Max_1934__2";"DE_Amling_Max_1934";"Amling";"Max";"28apr1934";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Amling_Max_1934__3";"DE_Amling_Max_1934";"Amling";"Max";"28apr1934";"04nov1980";"28mar1983";1980-11-04;1983-03-28;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Amling_Max_1934__4";"DE_Amling_Max_1934";"Amling";"Max";"28apr1934";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Amling_Max_1934__5";"DE_Amling_Max_1934";"Amling";"Max";"28apr1934";"29mar1983";"17feb1987";1983-03-29;1987-02-17;"NT_LE_T3_NA_01";"DE_NT-BT_1983"
"DE_Amrehn_Franz_1912__2";"DE_Amrehn_Franz_1912";"Amrehn";"Franz";"23nov1912";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Amrehn_Franz_1912__3";"DE_Amrehn_Franz_1912";"Amrehn";"Franz";"23nov1912";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Amrehn_Franz_1912__4";"DE_Amrehn_Franz_1912";"Amrehn";"Franz";"23nov1912";"04nov1980";"04oct1981";1980-11-04;1981-10-04;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Anbuhl_Juergen_1940__2";"DE_Anbuhl_Juergen_1940";"Anbuhl";"Juergen";"05may1940";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Andres_Gerd_1951__6";"DE_Andres_Gerd_1951";"Andres";"Gerd";"08apr1951";"20dec1990";"09nov1994";1990-12-20;1994-11-09;"NT_LE_T3_NA_01";"DE_NT-BT_1990"
"DE_Andres_Gerd_1951__7";"DE_Andres_Gerd_1951";"Andres";"Gerd";"08apr1951";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Angermeyer_Joachim_1923__1";"DE_Angermeyer_Joachim_1923";"Angermeyer";"Joachim";"18dec1923";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Annies_Dieter_1942__1";"DE_Annies_Dieter_1942";"Annies";"Dieter";"01dec1942";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Antretter_Robert_1939__2";"DE_Antretter_Robert_1939";"Antretter";"Robert";"05feb1939";"20dec1990";"09nov1994";1990-12-20;1994-11-09;"NT_LE_T3_NA_01";"DE_NT-BT_1990"
"DE_Antretter_Robert_1939__3";"DE_Antretter_Robert_1939";"Antretter";"Robert";"05feb1939";"04nov1980";"28mar1983";1980-11-04;1983-03-28;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Antretter_Robert_1939__4";"DE_Antretter_Robert_1939";"Antretter";"Robert";"05feb1939";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Antretter_Robert_1939__5";"DE_Antretter_Robert_1939";"Antretter";"Robert";"05feb1939";"29mar1983";"17feb1987";1983-03-29;1987-02-17;"NT_LE_T3_NA_01";"DE_NT-BT_1983"
"DE_Apel_Hans_1932__3";"DE_Apel_Hans_1932";"Apel";"Hans";"25feb1932";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Apel_Hans_1932__4";"DE_Apel_Hans_1932";"Apel";"Hans";"25feb1932";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Apel_Hans_1932__5";"DE_Apel_Hans_1932";"Apel";"Hans";"25feb1932";"04nov1980";"28mar1983";1980-11-04;1983-03-28;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Apel_Hans_1932__6";"DE_Apel_Hans_1932";"Apel";"Hans";"25feb1932";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Apel_Hans_1932__7";"DE_Apel_Hans_1932";"Apel";"Hans";"25feb1932";"29mar1983";"17feb1987";1983-03-29;1987-02-17;"NT_LE_T3_NA_01";"DE_NT-BT_1983"
"DE_Arendt_Walter_1925__3";"DE_Arendt_Walter_1925";"Arendt";"Walter";"17jan1925";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Arendt_Walter_1925__4";"DE_Arendt_Walter_1925";"Arendt";"Walter";"17jan1925";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Arndt_Claus_1927__3";"DE_Arndt_Claus_1927";"Arndt";"Claus";"16apr1927";"20may1974";"13dec1976";1974-05-20;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Arndt_Klaus_1927__3";"DE_Arndt_Klaus_1927";"Arndt";"Klaus-Dieter";"09mar1927";"13dec1972";"29jan1974";1972-12-13;1974-01-29;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Arnold_Gottfried_1933__3";"DE_Arnold_Gottfried_1933";"Arnold";"Gottfried";"10feb1933";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Arnold_Gottfried_1933__4";"DE_Arnold_Gottfried_1933";"Arnold";"Gottfried";"10feb1933";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Arnold_Gottfried_1933__5";"DE_Arnold_Gottfried_1933";"Arnold";"Gottfried";"10feb1933";"04nov1980";"28mar1983";1980-11-04;1983-03-28;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Artzinger_Helmut_1912__3";"DE_Artzinger_Helmut_1912";"Artzinger";"Helmut";"22apr1912";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Assmann_Heinz_1931__1";"DE_Assmann_Heinz_1931";"Assmann";"Heinz-Otto";"19jul1931";"24feb1983";"28mar1983";1983-02-24;1983-03-28;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Auch_Dieter_1941__1";"DE_Auch_Dieter_1941";"Auch";"Dieter";"12apr1941";"04nov1980";"28mar1983";1980-11-04;1983-03-28;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Augstein_Hans_1925__1";"DE_Augstein_Hans_1925";"Augstein";"Hans-Juergen";"16jan1925";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Augstein_Hans_1925__2";"DE_Augstein_Hans_1925";"Augstein";"Hans-Juergen";"16jan1925";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Augstein_Rudolf_1923__1";"DE_Augstein_Rudolf_1923";"Augstein";"Rudolf";"05nov1923";"13dec1972";"24jan1973";1972-12-13;1973-01-24;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Augustin_Anneliese_1930__2";"DE_Augustin_Anneliese_1930";"Augustin";"Anneliese";"24apr1930";"20dec1990";"09nov1994";1990-12-20;1994-11-09;"NT_LE_T3_NA_01";"DE_NT-BT_1990"
"DE_Augustin_Anneliese_1930__3";"DE_Augustin_Anneliese_1930";"Augustin";"Anneliese";"24apr1930";"06dec1989";"19dec1990";1989-12-06;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Augustin_Anneliese_1930__4";"DE_Augustin_Anneliese_1930";"Augustin";"Anneliese";"24apr1930";"13jan1984";"17feb1987";1984-01-13;1987-02-17;"NT_LE_T3_NA_01";"DE_NT-BT_1983"
"DE_Augustinowitz_Juergen_1964__2";"DE_Augustinowitz_Juergen_1964";"Augustinowitz";"Juergen";"10jun1964";"20dec1990";"09nov1994";1990-12-20;1994-11-09;"NT_LE_T3_NA_01";"DE_NT-BT_1990"
"DE_Auhagen_Friedrich_1951__1";"DE_Auhagen_Friedrich_1951";"Auhagen";"Friedrich-Hendrik";"25may1951";"17apr1985";"17feb1987";1985-04-17;1987-02-17;"NT_LE_T3_NA_01";"DE_NT-BT_1983"
"DE_Austermann_Dietrich_1941__5";"DE_Austermann_Dietrich_1941";"Austermann";"Dietrich";"22oct1941";"20dec1990";"09nov1994";1990-12-20;1994-11-09;"NT_LE_T3_NA_01";"DE_NT-BT_1990"
"DE_Austermann_Dietrich_1941__6";"DE_Austermann_Dietrich_1941";"Austermann";"Dietrich";"22oct1941";"16apr1982";"28mar1983";1982-04-16;1983-03-28;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Austermann_Dietrich_1941__7";"DE_Austermann_Dietrich_1941";"Austermann";"Dietrich";"22oct1941";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Austermann_Dietrich_1941__8";"DE_Austermann_Dietrich_1941";"Austermann";"Dietrich";"22oct1941";"29mar1983";"17feb1987";1983-03-29;1987-02-17;"NT_LE_T3_NA_01";"DE_NT-BT_1983"
"DE_Baack_Herbert_1921__2";"DE_Baack_Herbert_1921";"Baack";"Herbert";"03feb1921";"13dec1972";"13dec1976";1972-12-13;1976-12-13;"NT_LE_T3_NA_01";"DE_NT-BT_1972"
"DE_Baack_Herbert_1921__3";"DE_Baack_Herbert_1921";"Baack";"Herbert";"03feb1921";"14dec1976";"03nov1980";1976-12-14;1980-11-03;"NT_LE_T3_NA_01";"DE_NT-BT_1976"
"DE_Baack_Herbert_1921__4";"DE_Baack_Herbert_1921";"Baack";"Herbert";"03feb1921";"04nov1980";"28mar1983";1980-11-04;1983-03-28;"NT_LE_T3_NA_01";"DE_NT-BT_1980"
"DE_Babel_Gisela_1938__2";"DE_Babel_Gisela_1938";"Babel";"Gisela";"23may1938";"20dec1990";"09nov1994";1990-12-20;1994-11-09;"NT_LE_T3_NA_01";"DE_NT-BT_1990"
"DE_Bachmaier_Hermann_1939__5";"DE_Bachmaier_Hermann_1939";"Bachmaier";"Hermann";"05jul1939";"20dec1990";"09nov1994";1990-12-20;1994-11-09;"NT_LE_T3_NA_01";"DE_NT-BT_1990"
"DE_Bachmaier_Hermann_1939__6";"DE_Bachmaier_Hermann_1939";"Bachmaier";"Hermann";"05jul1939";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
