sep=;
"res_entry_id";"pers_id";"last_name";"first_name";"birth_date";"res_entry_start";"res_entry_end";"start_date";"end_date";"political_function";"parliament_id"
"DE_Abelein_Manfred_1930__6";"DE_Abelein_Manfred_1930";"Abelein";"Manfred";"20oct1930";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Ackermann_Else_1933__2";"DE_Ackermann_Else_1933";"Ackermann";"Else";"06nov1933";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Adam_Irmgard_1942__3";"DE_Adam_Irmgard_1942";"Adam-Schwaetzer";"Irmgard";"05apr1942";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Adler_Brigitte_1944__4";"DE_Adler_Brigitte_1944";"Adler";"Brigitte";"22jun1944";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Ahrens_Karl_1924__5";"DE_Ahrens_Karl_1924";"Ahrens";"Karl";"13mar1924";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Albrecht_Michael_1947__1";"DE_Albrecht_Michael_1947";"Albrecht";"Michael";"25nov1947";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Amende_Andreas_1955__1";"DE_Amende_Andreas_1955";"Amende";"Andreas";"12feb1955";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Amling_Max_1934__4";"DE_Amling_Max_1934";"Amling";"Max";"28apr1934";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Andres_Gerd_1951__7";"DE_Andres_Gerd_1951";"Andres";"Gerd";"08apr1951";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Annies_Dieter_1942__1";"DE_Annies_Dieter_1942";"Annies";"Dieter";"01dec1942";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Antretter_Robert_1939__4";"DE_Antretter_Robert_1939";"Antretter";"Robert";"05feb1939";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Apel_Hans_1932__6";"DE_Apel_Hans_1932";"Apel";"Hans";"25feb1932";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Augustin_Anneliese_1930__3";"DE_Augustin_Anneliese_1930";"Augustin";"Anneliese";"24apr1930";"06dec1989";"19dec1990";1989-12-06;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Austermann_Dietrich_1941__7";"DE_Austermann_Dietrich_1941";"Austermann";"Dietrich";"22oct1941";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bachmaier_Hermann_1939__6";"DE_Bachmaier_Hermann_1939";"Bachmaier";"Hermann";"05jul1939";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bahr_Egon_1922__4";"DE_Bahr_Egon_1922";"Bahr";"Egon-Karl-Heinz";"18mar1922";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bamberg_Georg_1936__2";"DE_Bamberg_Georg_1936";"Bamberg";"Georg";"09jan1936";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Barbe_Angelika_1951__2";"DE_Barbe_Angelika_1951";"Barbe";"Angelika";"26nov1951";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Barthel_Lothar_1937__1";"DE_Barthel_Lothar_1937";"Barthel";"Lothar";"28jun1937";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bauer_Harald_1949__1";"DE_Bauer_Harald_1949";"Bauer";"Harald";"24apr1949";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bauer_Wolf_1939__7";"DE_Bauer_Wolf_1939";"Bauer";"Wolf";"05mar1939";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Baum_Gerhart_1932__5";"DE_Baum_Gerhart_1932";"Baum";"Gerhart-Rudolf";"28oct1932";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bayha_Richard_1929__4";"DE_Bayha_Richard_1929";"Bayha";"Richard";"15mar1929";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Beck_Marieluise_1952__8";"DE_Beck_Marieluise_1952";"Beck-Oberdorf";"Marieluise";"25jun1952";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Becker_Helmuth_1929__6";"DE_Becker_Helmuth_1929";"Becker";"Helmuth";"03sep1929";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Becker_Ingrid_1946__4";"DE_Becker_Ingrid_1946";"Becker-Inglau";"Ingrid";"20nov1946";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Becker_Karl_1923__3";"DE_Becker_Karl_1923";"Becker";"Karl-Ernst";"20sep1923";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Becker_Roland_1940__1";"DE_Becker_Roland_1940";"Becker";"Roland";"25aug1940";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Beckmann_Klaus_1944__3";"DE_Beckmann_Klaus_1944";"Beckmann";"Klaus";"11aug1944";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Beer_Angelika_1957__3";"DE_Beer_Angelika_1957";"Beer";"Angelika";"24may1957";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bergmann_Sabine_1946__4";"DE_Bergmann_Sabine_1946";"Bergmann-Pohl";"Sabine";"20apr1946";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bernrath_Hans_1927__4";"DE_Bernrath_Hans_1927";"Bernrath";"Hans-Gottfried";"05jul1927";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Biedenkopf_Kurt_1930__2";"DE_Biedenkopf_Kurt_1930";"Biedenkopf";"Kurt-Hans";"28jan1930";"18feb1987";"09nov1990";1987-02-18;1990-11-09;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bindig_Rudolf_1940__8";"DE_Bindig_Rudolf_1940";"Bindig";"Rudolf";"06sep1940";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Birthler_Marianne_1948__1";"DE_Birthler_Marianne_1948";"Birthler";"Marianne";"22jan1948";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bittner_Ingrid_1944__1";"DE_Bittner_Ingrid_1944";"Bittner";"Ingrid";"16apr1944";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Blank_Joseph_1947__3";"DE_Blank_Joseph_1947";"Blank";"Joseph-Theodor";"19mar1947";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Blens_Heribert_1936__4";"DE_Blens_Heribert_1936";"Blens";"Heribert";"19feb1936";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bluem_Norbert_1935__7";"DE_Bluem_Norbert_1935";"Bluem";"Norbert-Sebastian";"21jul1935";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Blunck_Lieselott_1942__4";"DE_Blunck_Lieselott_1942";"Blunck";"Lieselott-Christine";"19nov1942";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Boehm_Wilfried_1934__5";"DE_Boehm_Wilfried_1934";"Boehm";"Wilfried";"09feb1934";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Boehme_Ulrich_1939__3";"DE_Boehme_Ulrich_1939";"Boehme";"Ulrich-Hermann-Hans";"12feb1939";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Boernsen_Arne_1944__4";"DE_Boernsen_Arne_1944";"Boernsen";"Arne";"05oct1944";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Boernsen_Wolfgang_1942__8";"DE_Boernsen_Wolfgang_1942";"Boernsen";"Wolfgang";"26apr1942";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Boetsch_Wolfgang_1938__8";"DE_Boetsch_Wolfgang_1938";"Boetsch";"Wolfgang";"08sep1938";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bogisch_Frank_1956__1";"DE_Bogisch_Frank_1956";"Bogisch";"Frank-Michael";"05may1956";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bohl_Friedrich_1945__5";"DE_Bohl_Friedrich_1945";"Bohl";"Heinrich-Friedrich";"05mar1945";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bohlsen_Wilfried_1934__2";"DE_Bohlsen_Wilfried_1934";"Bohlsen";"Wilfried";"23nov1934";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bohn_Juergen_1959__1";"DE_Bohn_Juergen_1959";"Bohn";"Juergen";"30oct1959";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Borchert_Johann_1940__8";"DE_Borchert_Johann_1940";"Borchert";"Johann-Joachim";"25apr1940";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Botz_Gerhard_1955__2";"DE_Botz_Gerhard_1955";"Botz";"Gerhard";"15sep1955";"03oct1990";"19dec1990";1990-10-03;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Brahmst_Helga_1951__1";"DE_Brahmst_Helga_1951";"Brahmst-Rock";"Helga";"25feb1951";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Brandt_Willy_1913dec__6";"DE_Brandt_Willy_1913dec";"Brandt";"Willy";"18dec1913";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Brauer_Hans_1945__1";"DE_Brauer_Hans_1945";"Brauer";"Hans-Joachim";"26aug1945";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Bredehorn_Guenther_1935__4";"DE_Bredehorn_Guenther_1935";"Bredehorn";"Guenther";"11dec1935";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Breuer_Paul_1950__7";"DE_Breuer_Paul_1950";"Breuer";"Paul";"25jun1950";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
"DE_Briefs_Ulrich_1939__2";"DE_Briefs_Ulrich_1939";"Briefs";"Ulrich-Dieter";"21feb1939";"18feb1987";"19dec1990";1987-02-18;1990-12-19;"NT_LE_T3_NA_01";"DE_NT-BT_1987"
