"pers_id";"id_nl_pdc_num";"id_nl_pdc_code";"id_nl_pdc_bio_id";"id_nl_pdc_slug";"last_name";"first_name";"birth_place_raw"
"NL_deJonge_Corinne_1976";;"vj0khuxzi6ha";22196;"drs-ce-corinne-ellemeet";"deJonge";"Corinne-Elisabeth";""
"NL_Ploumen_Lilianne_1962";;"vhonj7akimy3";21528;"drs-emj-lilianne-ploumen";"Ploumen";"Lilianne";""
"NL_vanderWal_Christianne_1973";3581;"vkjob68s3psk";22901;"ch-christianne-van-der-wal-zeggelink";"vanderWal-Zeggelink";"Christianne";
"NL_vanDijk_Emiel_1985";3549;"vkaqau9blsh3";22838;"e-emiel-van-dijk";"vanDijk";"Emiel";
"NL_Aartsen_Thierry_1989";;"vkrnco44nino";22926;"aa-thierry-aartsen";"Aartsen";"Thierry";""
"NL_Akerboom_Eva_1992";;"vks5bbt0ia6p";22927;"es-eva-akerboom";"Akerboom";"Eva";""
"NL_vandenAnker_Gerard_1972";;"vk99gbdqznoy";22761;"gp-gerard-van-den-anker";"vandenAnker";"Gerard";""
"NL_Azarkan_Farid_1971";;"vka6bwkjuyco";22818;"drs-f-farid-azarkan";"Azarkan";"Farid";""
"NL_vanBaarle_Stephan_1991";;"vleseadw4bt8";23109;"srt-stephan-van-baarle";"vanBaarle";"Stephan";""
"NL_Bamenga_Mpanzu_1985";;"vm6fi3lewzx5";23000;"p-mpanzu-bamenga";"Bamenga";"Mpanzu";""
"NL_Baudet_Thierry_1983";;"vjuuhtscjwpn";22527;"dr-thhph-thierry-baudet";"Baudet";"Thierry";""
"NL_Becker_Bente_1985";;"vk8mbisoiesa";22711;"b-bente-becker";"Becker";"Bente";""
"NL_vanBeukering_Marijke_1971";;"vk9nhxbu9vz8";22786;"mjthg-marijke-van-beukering-huijbregts";"vanBeukering";"Marijke";""
"NL_Bevers_Harry_1965";;"vlfociidrrxi";23116;"h-harry-bevers";"Bevers";"Harry";""
"NL_Bijenhof_Yvonne_1966";;"vm60fdazq4ks";23268;"y-yvonne-bijenhof";"Bijenhof";"Yvonne";""
"NL_Blaauw_Reinder_1994";;"vm6tcs6qvtxa";23308;"rb-reinder-blaauw";"Blaauw";"Reinder";""
"NL_Bolkestein_Martijn_1972";;"vl9yaqvkxbws";23025;"drs-mn-martijn-bolkestein";"Bolkestein";"Martijn";""
"NL_Bontenbal_Henri_1982";;"vldacmasw6p0";23048;"h-henri-bontenbal";"Bontenbal";"Henri";""
"NL_Boomsma_Diederik_1978";;"vm6usehy3ayx";23330;"dth-diederik-boomsma";"Boomsma";"Diederik";""
"NL_Boon_Maikel_1982";;"vm8chbfjcoqj";23352;"mch-maikel-boon";"Boon";"Maikel";""
"NL_vandenBorn_Vincent_1967";;"vm8eu8aunagm";23360;"vh-vincent-van-den-born";"vandenBorn";"Vincent";""
"NL_Boswijk_Derk_1989";;"vld9jvppuexx";23047;"dg-derk-boswijk";"Boswijk";"Derk";""
"NL_Bouchallikht_Kauthar_1994";;"vldnb6o8n5yh";23056;"k-kauthar-bouchallikht";"Bouchallikht";"Kauthar";""
