sep=;
"pers_id";"id_nl_pdc_num";"id_nl_pdc_code";"id_nl_pdc_bio_id";"id_nl_pdc_slug";"last_name";"first_name";"death_date"
"NL_Aardema_Max_1963";3552;"vkaqazblj5y5";22841;"m-max-aardema";"Aardema";"Max";
"NL_Aarts_Harry_1930";1642;;18532;"drs-hjb-harry-aarts";"Aarts";"Harry";
"NL_Aasted_Ine_1961";2301;;20839;"jdmp-ine-aasted-madsen-van-stiphout";"Aasted-Madsen-vanStiphout";"Ine";
"NL_Abel_Ron_1950";3097;;21385;"rthg-ron-abel";"Abel";"Ron";
"NL_Achttienribbe_Jan_1943";2977;;19575;"jw-jan-achttienribbe-buijs";"Achttienribbe-Buijs";"Jan";
"NL_Agema_Fleur_1976";3048;"vhdk1esivvy4";21344;"m-fleur-agema";"Agema";"Fleur";
"NL_Aiking_Liesbeth_1928";2552;;19174;"eg-liesbeth-aiking-van-wageningen";"Aiking-vanWageningen";"Liesbeth";
"NL_Akkerman_Sjouke_1947";2879;;19477;"sj-sjoukje-akkerman";"Akkerman";"Sjouke";
"NL_Albayrak_Nebahat_1968";2202;;19027;"mr-n-nebahat-albayrak";"Albayrak";"Nebahat";
"NL_Alders_Hans_1952";2750;;19348;"jgm-hans-alders";"Alders";"Hans";
"NL_Algra_Rendert_1963";2308;;20845;"rh-rendert-algra";"Algra";"Rendert";
"NL_Alkaya_Mahir_1988";3488;"vk7xhdceynv8";22633;"ir-mo-mahir-alkaya";"Alkaya";"Mahir";
"NL_Amhaouch_Mustafa_1970";3328;"vj0acwz6u8tl";22176;"ing-m-mustafa-amhaouch";"Amhaouch";"Mustafa";
"NL_Anker_Ed_1978";3114;;21398;"drs-ew-ed-anker";"Anker";"Ed";
"NL_Apostolou_Thanasis_1946";2966;;19564;"drs-thanasis-apostolou";"Apostolou";"Thanasis";
"NL_Aptroot_Charlie_1950";2412;;21027;"chb-charlie-aptroot";"Aptroot";"Charlie";
"NL_Arib_Khadija_1960";2203;"vg09lljpk5z1";19028;"dr-k-khadija-arib";"Arib";"Khadija";
"NL_Arissen_Femke_1983";3511;"vk98n24xi0ik";22757;"fm-femke-merel-van-kooten-arissen";"Arissen";"Femke";
"NL_Asante_Amma_1972";3473;"vk6ugepnyuv8";22598;"aa-amma-asante";"Asante";"Amma";
"NL_Asscher_Lodewijk_1974";3392;"vj42f8sqgyr4";22268;"dr-lf-lodewijk-asscher";"Asscher";"Lodewijk";
"NL_Assen_Anneke_1949";2568;;19190;"dr-jgm-anneke-assen";"Assen";"Anneke";
"NL_Atsma_Joop_1956";2204;;19029;"jj-joop-atsma";"Atsma";"Joop";
"NL_Augusteijn_Marijke_1944";2502;;19124;"mj-marijke-augusteijn-esser";"Augusteijn-Esser";"Marijke";
"NL_Azmani_Malik_1976";3200;"vie4fyor3kzu";21873;"mr-m-malik-azmani";"Azmani";"Malik";
"NL_Azough_Naima_1972";2302;;20838;"n-naima-azough";"Azough";"Naima";
"NL_Baas_Ada_1942";2967;;19565;"aj-ada-baas-jansen";"Baas-Jansen";"Ada";
"NL_Baay_Martine_1958";3379;"vj2uugfz90wj";22249;"mr-mhh-martine-baay-timmerman";"Baay-Timmerman";"Martine";
"NL_Bakker_Ben_1931";2605;;19203;"b-ben-bakker";"Bakker";"Ben";
"NL_Bakker_Bert_1958";2503;;19125;"ad-bert-bakker";"Bakker";"Bert";
"NL_Balemans_Eric_1961";2206;;19031;"erm-eric-balemans";"Balemans";"Eric";
"NL_Balkenende_Jan_1956";2207;;19032;"profdr-jp-jan-peter-balkenende";"Balkenende";"Jan-Peter";
"NL_Barendregt_Nel_1936";1614;;18504;"ng-nel-barendregt";"Barendregt";"Nel";
"NL_Barth_Marleen_1964";2208;;19033;"drs-mam-marleen-barth";"Barth";"Marleen";
"NL_Bashir_Farshad_1988";3149;"vhqs2s1hz0yn";21532;"f-farshad-bashir";"Bashir";"Farshad";
"NL_Beckerman_Sandra_1983";3476;"vk72k4la4afx";22616;"sm-sandra-beckerman";"Beckerman";"Sandra";
"NL_Beelaerts_Pieter_1932";1944;;18834;"jhrdrs-pac-pieter-beelaerts-van-blokland";"Beelaerts-vanBlokland";"Pieter";
"NL_Beertema_Harm_1952";3209;"vifyc8eb3izf";21936;"hj-harm-beertema";"Beertema";"Harm";
"NL_Beijlen_Jacqueline_1953";2978;;19576;"dj-jacqueline-beijlen-geerts";"Beijlen-Geerts";"Jacqueline";
"NL_Belhaj_Salima_1978";2496;"vhe8aqfbq6x8";21358;"s-salima-belhaj";"Belhaj";"Salima";
"NL_Belinfante_Judith_1943";2210;;19035;"drs-jce-judith-belinfante";"Belinfante";"Judith";
"NL_Benschop_Dick_1957";2903;;19501;"drs-da-dick-benschop";"Benschop";"Dick";
"NL_Berckmoes_Ybeltje_1967";3262;"vifs19qfrczx";21934;"drs-y-ybeltje-berckmoes-duindam";"Berckmoes-Duindam";"Ybeltje";
"NL_Berg_Ed_1932";91;;16982;"drs-el-ed-berg";"Berg";"Ed";
"NL_Bergkamp_Vera_1971";3349;"vj0nb7o5dmys";22198;"drs-va-vera-bergkamp";"Bergkamp";"Vera";
"NL_Berndsen_Magda_1950";3187;"vie4glvj6ctm";21875;"ma-magda-berndsen";"Berndsen-Jansen";"Magda";
"NL_Besselink_Marianne_1972";3074;;21362;"m-marianne-besselink";"Besselink";"Marianne";
"NL_Beumer_Bouke_1934";1798;;18688;"drs-b-bouke-beumer";"Beumer";"Bouke";
"NL_Biesheuvel_Pieter_1949";2822;;19420;"mr-pj-pieter-jan-biesheuvel";"Biesheuvel";"Pieter-Jan";
"NL_Bijleveld_Ank_1962";2974;;19572;"drs-athb-ank-bijleveld-schouten";"Bijleveld-Schouten";"Ank";
"NL_Bijlhout_Philomena_1957";2361;;20956;"rrph-philomena-bijlhout";"Bijlhout";"Philomena";
"NL_Bikker_Mirjam_1982";3440;"vjrwexet40gc";22495;"mh-mirjam-bikker";"Bikker";"Mirjam";
"NL_Bilder_Eddy_1964";3044;;21341;"ing-ej-eddy-bilder";"Bilder";"Eddy";
"NL_Bischoff_Suzanne_1950";2622;;19220;"dr-sc-suzanne-bischoff-van-heemskerck";"Bischoff-vanHeemskerck";"Suzanne";
"NL_Biskop_Jack_1956";3045;;21342;"drs-jjgm-jack-biskop";"Biskop";"Jack";
"NL_Bisschop_Roelof_1956";3353;"vj0ob8scsw3o";22202;"dr-r-roelof-bisschop";"Bisschop";"Roelof";
"NL_Blaauw_Jan_1941";2602;;19200;"jd-jan-dirk-blaauw";"Blaauw";"Jan-Dirk";
"NL_Blanksma_Elly_1959";3049;;21343;"pjmg-elly-blanksma-van-den-heuvel";"Blanksma-vandenHeuvel";"Elly";
"NL_Blauw_Piet_1939";2661;;19259;"pm-piet-blauw";"Blauw";"Piet";
"NL_Bloemen_Liesbeth_1954";2613;;19211;"mr-egem-liesbeth-bloemen";"Bloemen";"Liesbeth";
"NL_Blok_Stef_1964";2205;"vg09lljqj5z3";19030;"drs-sa-stef-blok";"Blok";"Stef";
"NL_Blom_Luuk_1957";2408;;21026;"l-luuk-blom";"Blom";"Luuk";
"NL_Boekestijn_Arend_1959";3062;;21345;"drs-aj-arend-jan-boekestijn";"Boekestijn";"Arend-Jan";
"NL_Boelhouwer_Jan_1950";2402;;21018;"dr-ajw-jan-boelhouwer";"Boelhouwer";"Jan";
"NL_Boers_Mieke_1946";2825;;19423;"drs-mha-mieke-boers-wijnberg";"Boers-Wijnberg";"Mieke";
"NL_Bolhuis_Eppo_1953";1845;;18735;"drir-ee-eppo-bolhuis";"Bolhuis";"Eppo";
"NL_Bolkestein_Frits_1933";2604;;19202;"mrdrs-f-frits-bolkestein";"Bolkestein";"Frits";
"NL_Bonis_Desiree_1959";3341;"vj0kbaxtj4i0";22191;"de-desiree-bonis";"Bonis";"Desiree";
"NL_Bonke_Vic_1940";2355;;20947;"dr-fim-vic-bonke";"Bonke";"Vic";
"NL_Bontes_Louis_1956";16079;"vi5kc6hz68xb";21799;"drs-l-louis-bontes";"Bontes";"Louis";
"NL_Bos_Frederik_1866";176;;17067;"f-bos";"Bos";"Frederik";
"NL_Bos_Wouter_1963";2212;;19037;"drs-wj-wouter-bos";"Bos";"Wouter";
"NL_Bosma_Martin_1964";3127;"vhfw2rplymlk";21439;"m-martin-bosma";"Bosma";"Martin";
"NL_Bosma_Remco_1971";3456;"vjt3d7ayk1nk";22515;"ir-rpg-remco-bosma";"Bosma";"Remco";
"NL_Bosman_Andre_1965";3252;"vif4b94gg7u8";21923;"andre-bosman";"Bosman";"Andre";
"NL_Bosman_Clemens_1946";2786;;19384;"cma-clemens-bosman";"Bosman";"Clemens";
"NL_Bouali_Achraf_1974";3521;"vk9hbobhwguk";22773;"achraf-bouali";"Bouali";"Achraf";
"NL_Bouchibti_Samira_1970";3081;;21378;"s-samira-bouchibti";"Bouchibti";"Samira";
"NL_Bouwmeester_Lea_1979";3082;"vhekc59mytnr";21375;"lth-lea-bouwmeester";"Bouwmeester";"Lea";
"NL_Braakhuis_Bruno_1961";3227;;21879;"bam-bruno-braakhuis";"Braakhuis";"Bruno";
"NL_Brandsen_Bertus_1914";194;;17085;"b-bertus-brandsen";"Brandsen";"Bertus";
"NL_Bremmer_Cees_1948";2569;;19191;"mrdrs-c-cees-bremmer";"Bremmer";"Cees";
"NL_Brinkel_Theo_1958";2440;;20999;"dr-thbfm-theo-brinkel";"Brinkel";"Theo";
"NL_Brinkhorst_Laurens_1937";1738;;18628;"mr-lj-laurens-jan-brinkhorst";"Brinkhorst";"Laurens-Jan";
"NL_Brinkman_Elco_1948";2748;;19346;"mrdrs-lc-elco-brinkman";"Brinkman";"Elco";
"NL_Brinkman_Hero_1964";3099;;21428;"h-hero-brinkman";"Brinkman";"Hero";
"NL_Broekhuis_Bert_1943";2708;;19306;"drs-ewh-bert-broekhuis";"Broekhuis";"Bert";
"NL_Brouwer_Harm_1957";3422;"vjpljp945uu1";22474;"h-harm-brouwer";"Brouwer";"Harm";
"NL_Brouwer_Ina_1950";2662;;19260;"mr-i-ina-brouwer";"Brouwer";"Ina";
"NL_Bruins_Eppo_1969";3332;"vj0dhyyrqnij";22180;"eew-eppo-bruins";"Bruins";"Eppo";
"NL_Bruins_Hanke_1977";3221;"viej19fsg3z9";21888;"mrdrs-hgj-hanke-bruins-slot";"Bruins-Slot";"Hanke";
"NL_Bruls_Hubert_1966";2376;;20972;"drs-hmf-hubert-bruls";"Bruls";"Hubert";
"NL_Buijs_Siem_1944";2213;;19038;"drs-s-siem-buijs";"Buijs";"Siem";
"NL_Bukman_Piet_1934";2659;;19257;"drs-p-piet-bukman";"Bukman";"Piet";
"NL_Burggraaf_Piet_1931";241;;17132;"pa-piet-burggraaf";"Burggraaf";"Piet";
"NL_Bussemaker_Jet_1961";2251;;19076;"profdr-m-jet-bussemaker";"Bussemaker";"Jet";
"NL_Buurmeijer_Flip_1940";2636;;19234;"jf-flip-buurmeijer";"Buurmeijer";"Flip";
"NL_Ceder_Don_1989";3492;"vk8fd7yghuzt";22640;"dgm-don-ceder";"Ceder";"Don";
"NL_Cegerek_Yasemin_1977";3409;"vjah9jrm3o66";22334;"y-yasemin-cegerek";"Cegerek";"Yasemin";
"NL_Celik_Metin_1970";3245;;21942;"m-metin-celik";"Celik";"Metin";
"NL_Cherribi_Sam_1959";2505;;19127;"dr-o-sam-cherribi";"Cherribi";"Sam";
"NL_Coeruez_Coskun_1963";2294;;19119;"mr-c-coskun-coruz";"Coeruez";"Coskun";
"NL_Cohen_Job_1947";2657;;19255;"dr-mj-job-cohen";"Cohen";"Job";
"NL_Cornelissen_Pam_1934";270;;17161;"ir-pam-pam-cornelissen";"Cornelissen";"Pam";
"NL_Cornielje_Clemens_1958";2506;;19128;"cga-clemens-cornielje";"Cornielje";"Clemens";
"NL_Cotterell_Grace_1937";2663;;19261;"eg-grace-cotterell";"Cotterell";"Grace";
"NL_Couprie_Henk_1930";2623;;19221;"dr-hch-henk-couprie";"Couprie";"Henk";
"NL_Cramer_Ernst_1960";3072;;21354;"ea-ernst-cramer";"Cramer";"Ernst";
