"pers_id";"id_nl_pdc_num";"id_nl_pdc_code";"id_nl_pdc_bio_id";"id_nl_pdc_slug";"last_name";"first_name";"wikidata_id"
"NL_Aalberse_Piet_1871";1;;16892;"mr-pjm-piet-aalberse";"Aalberse";"Piet";""
"NL_Aalberse_Piet_1910";2;;16893;"mr-pjm-piet-aalberse-0";"Aalberse";"Piet";""
"NL_Aantjes_Wim_1923";4;;16895;"mr-w-wim-aantjes";"Aantjes";"Wim";""
"NL_Aarden_Jacques_1914";5;;16896;"drs-jm-jacques-aarden";"Aarden";"Jacques";""
"NL_Aarts_Harry_1930";1642;;18532;"drs-hjb-harry-aarts";"Aarts";"Harry";""
"NL_Aasted_Ine_1961";2301;;20839;"jdmp-ine-aasted-madsen-van-stiphout";"Aasted-Madsen-vanStiphout";"Ine";""
"NL_Abel_Ron_1950";3097;;21385;"rthg-ron-abel";"Abel";"Ron";""
"NL_Abma_Hette_1917";7;;16898;"hg-hette-abma";"Abma";"Hette";""
"NL_Achttienribbe_Jan_1943";2977;;19575;"jw-jan-achttienribbe-buijs";"Achttienribbe-Buijs";"Jan";""
"NL_Adelmund_Karin_1949";2500;;19122;"drs-kyij-karin-adelmund";"Adelmund";"Karin";""
"NL_Aiking_Liesbeth_1928";2552;;19174;"eg-liesbeth-aiking-van-wageningen";"Aiking-vanWageningen";"Liesbeth";""
"NL_Akkerman_Sjouke_1947";2879;;19477;"sj-sjoukje-akkerman";"Akkerman";"Sjouke";""
"NL_Albarda_Binse_1796";10;;16901;"mr-b-albarda";"Albarda";"Binse";""
"NL_Albarda_Willem_1877";11;;16902;"ir-jw-willem-albarda";"Albarda";"Willem";""
"NL_Albayrak_Nebahat_1968";2202;;19027;"mr-n-nebahat-albayrak";"Albayrak";"Nebahat";""
"NL_Albeda_Hendrik_1872";12;;16903;"h-albeda";"Albeda";"Hendrik";""
"NL_Albering_Leo_1904";15;;16906;"dr-lah-leo-albering";"Albering";"Leo";""
"NL_Albers_Wim_1920";1643;;18533;"w-wim-albers";"Albers";"Wim";""
"NL_Alblas_Ton_1940";2378;;20976;"ir-t-ton-alblas";"Alblas";"Ton";""
"NL_Alders_Hans_1952";2750;;19348;"jgm-hans-alders";"Alders";"Hans";""
"NL_Algera_Jacob_1902";16;;16907;"mr-j-jacob-algera";"Algera";"Jacob";""
"NL_Algra_Rendert_1963";2308;;20845;"rh-rendert-algra";"Algra";"Rendert";""
"NL_Amelink_Herman_1881";20;;16911;"h-herman-amelink";"Amelink";"Herman";""
"NL_Ament_Jean_1864";21;;16912;"jjc-jean-ament";"Ament";"Jean";""
"NL_Andela_Mieke_1923";1996;;18886;"mah-mieke-andela-baur";"Andela-Baur";"Mieke";""
"NL_Andreae_Jouwert_1812";23;;16914;"j-andreae";"Andreae";"Jouwert";""
"NL_Andriessen_Frans_1929";24;;16915;"mr-fhjj-frans-andriessen";"Andriessen";"Frans";""
"NL_Andriessen_Jan_1894";25;;16916;"wj-jan-andriessen";"Andriessen";"Jan";""
"NL_Anemaet_Sebastiaan_1786";28;;16919;"mr-sh-anemaet";"Anemaet";"Sebastiaan-Hendrik";""
"NL_Anker_Ed_1978";3114;;21398;"drs-ew-ed-anker";"Anker";"Ed";""
"NL_Ankerman_Jan_1869";29;;16920;"mr-j-jan-ankerman";"Ankerman";"Jan";""
"NL_Ankersmit_Hendrik_1895";30;;16921;"hj-jan-ankersmit";"Ankersmit";"Hendrik-Jan";""
"NL_Apostolou_Thanasis_1946";2966;;19564;"drs-thanasis-apostolou";"Apostolou";"Thanasis";""
"NL_Aptroot_Charlie_1950";2412;;21027;"chb-charlie-aptroot";"Aptroot";"Charlie";""
"NL_Arnoldts_Jan_1808";31;;16922;"jh-arnoldts";"Arnoldts";"Jan-Hendrik";""
"NL_Arts_Antoine_1845";34;;16925;"aha-antoine-arts";"Arts";"Antoine";""
"NL_Arts_Pius_1881";35;;16926;"mr-pm-pius-arts";"Arts";"Pius";""
"NL_Assen_Anneke_1949";2568;;19190;"dr-jgm-anneke-assen";"Assen";"Anneke";""
"NL_Assmann_Wim_1907";43;;16934;"wpg-willem-assmann";"Assmann";"Wim";""
"NL_Atsma_Joop_1956";2204;;19029;"jj-joop-atsma";"Atsma";"Joop";""
"NL_Attema_Eilard_1818";44;;16935;"ej-attema";"Attema";"Eilard-Jacobus";""
"NL_Augusteijn_Marijke_1944";2502;;19124;"mj-marijke-augusteijn-esser";"Augusteijn-Esser";"Marijke";""
"NL_Azough_Naima_1972";2302;;20838;"n-naima-azough";"Azough";"Naima";""
"NL_Baart_Ies_1914";50;;16941;"i-ies-baart";"Baart";"Ies";""
"NL_Baas_Ada_1942";2967;;19565;"aj-ada-baas-jansen";"Baas-Jansen";"Ada";""
"NL_Baas_Gerrit_1884";51;;16942;"g-gerrit-baas-kzn";"Baas";"Gerrit";""
"NL_Bachg_Franciscus_1902";53;;16944;"mr-fjh-frans-bachg";"Bachg";"Franciscus-Joannes-Herman";""
"NL_Bachiene_Philip_1814";54;;16945;"phj-bachiene";"Bachiene";"Philip-Johannes";""
"NL_Backer_C_1798";55;;16946;"jhrmr-c-backer";"Backer";"C";""
"NL_Baeten_Fons_1920";56;;16947;"mr-amih-fons-baeten";"Baeten";"Fons";""
"NL_Bahlmann_Bernardus_1848";57;;16948;"mr-bm-bahlmann";"Bahlmann";"Bernardus-Marie";""
"NL_Bajetto_Max_1881";58;;16949;"mlf-max-bajetto";"Bajetto";"Max";""
"NL_Bakker_Ben_1931";2605;;19203;"b-ben-bakker";"Bakker";"Ben";""
"NL_Bakker_Bert_1958";2503;;19125;"ad-bert-bakker";"Bakker";"Bert";""
"NL_Bakker_Ernst_1946";2691;;19289;"ec-ernst-bakker";"Bakker";"Ernst";""
"NL_Bakker_Joop_1921";1800;;18690;"drs-ja-joop-bakker";"Bakker";"Joop";""
"NL_Bakker_Jouke_1873";59;;16950;"ja-jouke-bakker";"Bakker";"Jouke";""
"NL_Bakker_Marcus_1923";60;;16951;"m-marcus-bakker";"Bakker";"Marcus";""
"NL_Balemans_Eric_1961";2206;;19031;"erm-eric-balemans";"Balemans";"Eric";""
"NL_Balkenende_Jan_1956";2207;;19032;"profdr-jp-jan-peter-balkenende";"Balkenende";"Jan-Peter";""
"NL_Barendregt_Nel_1936";1614;;18504;"ng-nel-barendregt";"Barendregt";"Nel";""
"NL_Barge_Harry_1844";63;;16954;"mr-chah-henri-barge";"Barge";"Harry";""
"NL_baron_Bartholomeus_1807";1260;;18150;"mr-bwae-baron-sloet-tot-oldhuis";"baron-Sloet-tot-Oldhuis";"Bartholomeus-Willem-Anne-Elise";""
"NL_baron_Ludolph_1806";1259;;18149;"mr-lajw-baron-sloet-van-de-beele";"baron-Sloet-vandeBeele";"Ludolph-Anne-Jan-Wilt";""
"NL_baronBrantsen_Willem_1831";198;;17089;"mr-wg-baron-brantsen-van-de-zijp";"baronBrantsen-vandeZijp";"Willem-Gerard";""
"NL_barondAblaing_Johan_1779";6;;16897;"jdccw-baron-dablaing-van-giessenburg";"barondAblaing-vanGiessenburg";"Johan-Daniel-Cornelis-Carel-Willem";""
"NL_barondeBieberstein_Charles_1796";113;;17004;"cha-baron-de-bieberstein-rogalla-zawadsky";"barondeBieberstein-Rogalla-Zawadsky";"Charles-Antoine";""
"NL_barondeBieberstein_Charles_1854";114;;17005;"mr-chcmh-karel-baron-de-bieberstein-rogalla-zawadsky";"barondeBieberstein-Rogalla-Zawadsky";"Charles-Casimir-Marie-Hubert";""
"NL_barondeKeverberg_F_1825";692;;17582;"mr-fhke-baron-de-keverberg-van-kessel";"barondeKeverberg-vanKessel";"F";""
"NL_barondeVos_Jan_1827";1479;;18369;"mr-jwj-baron-de-vos-van-steenwijk";"barondeVos-vanSteenwijk";"Jan-Willem-Jacobus";""
"NL_barondeWijkerslooth_Jean_1873";1580;;18470;"mr-jblcch-baron-de-wijkerslooth-de-weerdesteyn";"barondeWijkerslooth-deWeerdesteyn";"Jean-Baptiste-Louis-Corneille-Charles";""
"NL_barondOlne_Ernest_1848";999;;17889;"jehw-ernest-baron-dolne";"barondOlne";"Ernest";""
"NL_baronMackay_AEneas_1806";861;;17751;"mr-ae-baron-mackay";"baronMackay";"AEneas";""
"NL_baronMackay_AEneas_1838";862;;17752;"mr-ae-baron-mackay-0";"baronMackay";"AEneas";""
"NL_baronMackay_Donald_1839";863;;17753;"mr-dj-donald-baron-mackay";"baronMackay";"Donald";""
"NL_baronMackay_Theodoor_1840";864;;17754;"mr-thph-baron-mackay";"baronMackay";"Theodoor-Philip";""
"NL_baronMichiels_Louis_1855";923;;17813;"mr-lpmh-baron-michiels-van-verduynen";"baronMichiels-vanVerduynen";"Louis-Paul-Marie-Hubert";""
"NL_baronSchimmelpenninck_Alex_1839";1203;;18093;"alex-baron-schimmelpenninck-van-der-oye";"baronSchimmelpenninck-vanderOye";"Alex";""
"NL_baronSchimmelpenninck_Jan_1836";1204;;18094;"jen-baron-schimmelpenninck-van-der-oye";"baronSchimmelpenninck-vanderOye";"Jan-Elias-Nicolaas";""
"NL_baronSchimmelpenninck_Willem_1800";1205;;18095;"wa-baron-schimmelpenninck-van-der-oye";"baronSchimmelpenninck-vanderOye";"Willem-Anne";""
"NL_baronTaets_Pieter_1803";1337;;18227;"ph-baron-taets-van-amerongen-tot-natewisch";"baronTaets-vanAmerongen-totNatewisch";"Pieter-Hendrik";""
"NL_baronvanBoetzelaer_Carel_1873";149;;17040;"dr-cwth-baron-van-boetzelaer-van-dubbeldam";"baronvanBoetzelaer-vanDubbeldam";"Carel-Wessel-Theodorus";""
"NL_baronvanDedem_Alexander_1838";293;;17184;"baron-van-dedem";"baronvanDedem";"Alexander";""
