sep=;
"boundary_side";"res_entry_id";"pers_id";"res_entry_start";"res_entry_end";"political_function";"parliament_id"
"last_end_before_date";"NL_Aardema_Max_1963__1";"NL_Aardema_Max_1963";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Aartsen_Thierry_1989__3";"NL_Aartsen_Thierry_1989";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Bamenga_Mpanzu_1985__1";"NL_Bamenga_Mpanzu_1985";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Baudet_Thierry_1983__2";"NL_Baudet_Thierry_1983";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Becker_Bente_1985__4";"NL_Becker_Bente_1985";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Beckerman_Sandra_1983__3";"NL_Beckerman_Sandra_1983";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Bevers_Harry_1965__2";"NL_Bevers_Harry_1965";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Bikker_Mirjam_1982__2";"NL_Bikker_Mirjam_1982";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Blaauw_Reinder_1994__1";"NL_Blaauw_Reinder_1994";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Bontenbal_Henri_1982__4";"NL_Bontenbal_Henri_1982";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Boomsma_Diederik_1978__1";"NL_Boomsma_Diederik_1978";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Boon_Maikel_1982__1";"NL_Boon_Maikel_1982";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Bosma_Martin_1964__21";"NL_Bosma_Martin_1964";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Boswijk_Derk_1989__2";"NL_Boswijk_Derk_1989";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Boutkan_Willem_1955__1";"NL_Boutkan_Willem_1955";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Bromet_Laura_1970__3";"NL_Bromet_Laura_1970";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Bruyning_Faith_1988__1";"NL_Bruyning_Faith_1988";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Buijsse_Martijn_1981__1";"NL_Buijsse_Martijn_1981";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Bushoff_Julian_1997__2";"NL_Bushoff_Julian_1997";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Ceder_Don_1989__2";"NL_Ceder_Don_1989";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Chakor_Glimina_1976__1";"NL_Chakor_Glimina_1976";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Claassen_Ren_1971__1";"NL_Claassen_Ren_1971";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Crijns_Patrick_1984__1";"NL_Crijns_Patrick_1984";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Dassen_Laurens_1985__2";"NL_Dassen_Laurens_1985";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Deen_Marco_1968__1";"NL_Deen_Marco_1968";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_deGroot_Peter_1980__2";"NL_deGroot_Peter_1980";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_deHoop_Habtamu_1998__2";"NL_deHoop_Habtamu_1998";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_deJong_Leon_1982__9";"NL_deJong_Leon_1982";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_deKort_Daan_1992__2";"NL_deKort_Daan_1992";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_deRoon_Raymond_1952__20";"NL_deRoon_Raymond_1952";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_deVree_Henk_1954__2";"NL_deVree_Henk_1954";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_deVries_Aukje_1964__4";"NL_deVries_Aukje_1964";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Dijk_Jimmy_1985__2";"NL_Dijk_Jimmy_1985";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Dobbe_Sarah_1979__1";"NL_Dobbe_Sarah_1979";"13dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Dral_Rosemarijn_1985__1";"NL_Dral_Rosemarijn_1985";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Eerdmans_Joost_1971__33";"NL_Eerdmans_Joost_1971";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_elAbassi_Ismail_1983__1";"NL_elAbassi_Ismail_1983";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Ellian_Ulysse_1988__2";"NL_Ellian_Ulysse_1988";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Ergin_Do_1992__1";"NL_Ergin_Do_1992";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Erkens_Silvio_1990__2";"NL_Erkens_Silvio_1990";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Esser_Eric_1985__1";"NL_Esser_Eric_1985";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Faddegon_Chris_1954__1";"NL_Faddegon_Chris_1954";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Flach_Andr_1976__1";"NL_Flach_Andr_1976";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Gabriels_Geert_1979__1";"NL_Gabriels_Geert_1979";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Graus_Dion_1967__9";"NL_Graus_Dion_1967";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Grinwis_Pieter_1979__2";"NL_Grinwis_Pieter_1979";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Heite_Annemarie_1970__1";"NL_Heite_Annemarie_1970";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Helder_Lilian_1973__9";"NL_Helder_Lilian_1973";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Hertzberger_Rosanne_1984__1";"NL_Hertzberger_Rosanne_1984";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Heutink_Hidde_1993__1";"NL_Heutink_Hidde_1993";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Hirsch_Dani_1968__1";"NL_Hirsch_Dani_1968";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Holman_Harm_1957__1";"NL_Holman_Harm_1957";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Jansen_Dani_1970__1";"NL_Jansen_Dani_1970";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Jetten_Rob_1987__3";"NL_Jetten_Rob_1987";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Joseph_Agnes_1980__1";"NL_Joseph_Agnes_1980";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Kahraman_Isa_1974__1";"NL_Kahraman_Isa_1974";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Kamminga_Roelien_1978__2";"NL_Kamminga_Roelien_1978";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Kathmann_Barbara_1978__2";"NL_Kathmann_Barbara_1978";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Kisteman_Arend_1984__1";"NL_Kisteman_Arend_1984";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Klaver_Jesse_1986__18";"NL_Klaver_Jesse_1986";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Koekkoek_Marieke_1989__3";"NL_Koekkoek_Marieke_1989";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Kops_Alexander_1984__3";"NL_Kops_Alexander_1984";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
