sep=;
"res_entry_id";"pers_id";"last_name";"first_name";"birth_date";"res_entry_start";"res_entry_end";"start_date";"end_date";"political_function";"parliament_id"
"NL_Aantjes_Wim_1923__25";"NL_Aantjes_Wim_1923";"Aantjes";"Wim";"16jan1923";"26may1959";"07nov1978";1959-05-26;1978-11-07;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1918"
"NL_Albering_Leo_1904__8";"NL_Albering_Leo_1904";"Albering";"Leo";"07feb1904";"23oct1956";"20may1969";1956-10-23;1969-05-20;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2003"
"NL_Andriessen_Jan_1894__1";"NL_Andriessen_Jan_1894";"Andriessen";"Jan";"24feb1894";"08jun1937";"22feb1967";1937-06-08;1967-02-22;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2006"
"NL_Assmann_Wim_1907__8";"NL_Assmann_Wim_1907";"Assmann";"Wim";"26aug1907";"26may1959";"06dec1972";1959-05-26;1972-12-06;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1959;NL_NT-TK_1963;NL_NT-TK_1967;NL_NT-TK_1971"
"NL_Baart_Ies_1914__2";"NL_Baart_Ies_1914";"Baart";"Ies";"09feb1914";"24mar1959";"22feb1967";1959-03-24;1967-02-22;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1959;NL_NT-TK_1963"
"NL_Baeten_Fons_1920__8";"NL_Baeten_Fons_1920";"Baeten";"Fons";"10apr1920";"06nov1956";"22feb1967";1956-11-06;1967-02-22;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1967;NL_NT-TK_1971;NL_NT-TK_1972"
"NL_Bakker_Marcus_1923__17";"NL_Bakker_Marcus_1923";"Bakker";"Marcus";"20jun1923";"07nov1956";"15sep1982";1956-11-07;1982-09-15;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1901;NL_NT-TK_1905;NL_NT-TK_1909;NL_NT-TK_1913;NL_NT-TK_1917"
"NL_Beernink_Henk_1910__16";"NL_Beernink_Henk_1910";"Beernink";"Henk";"02feb1910";"04jun1946";"05apr1967";1946-06-04;1967-04-05;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1981;NL_NT-TK_1982;NL_NT-TK_1986;NL_NT-TK_1989;NL_NT-TK_1994"
"NL_Berger_Jan_1918__20";"NL_Berger_Jan_1918";"Berger";"Jan";"18sep1918";"20mar1959";"10may1965";1959-03-20;1965-05-10;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1986;NL_NT-TK_1989"
"NL_Berkhouwer_Cees_1919__9";"NL_Berkhouwer_Cees_1919";"Berkhouwer";"Cees";"19mar1919";"06nov1956";"04sep1979";1956-11-06;1979-09-04;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1986"
