sep=;
"res_entry_id";"pers_id";"last_name";"first_name";"birth_date";"res_entry_start";"res_entry_end";"start_date";"end_date";"political_function";"parliament_id"
"NL_Aartsen_Thierry_1989__1";"NL_Aartsen_Thierry_1989";"Aartsen";"Thierry";"19dec1989";"13sep2018";"30mar2021";2018-09-13;2021-03-30;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2017"
"NL_Agema_Fleur_1976__10";"NL_Agema_Fleur_1976";"Agema";"Fleur";"16sep1976";"05may2015";"02jul2024";2015-05-05;2024-07-02;"NT_LE-LH_T3_NA_01";""
"NL_Alkaya_Mahir_1988__1";"NL_Alkaya_Mahir_1988";"Alkaya";"Mahir";"06jul1988";"18jan2018";"30mar2021";2018-01-18;2021-03-30;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1982"
"NL_Amhaouch_Mustafa_1970__2";"NL_Amhaouch_Mustafa_1970";"Amhaouch";"Mustafa";"27jun1970";"23mar2017";"30mar2021";2017-03-23;2021-03-30;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2017"
"NL_Arib_Khadija_1960__36";"NL_Arib_Khadija_1960";"Arib";"Khadija";"10oct1960";"01mar2007";"30mar2021";2007-03-01;2021-03-30;"NT_LE-LH_T3_NA_01";""
"NL_Asscher_Lodewijk_1974__1";"NL_Asscher_Lodewijk_1974";"Asscher";"Lodewijk";"27sep1974";"23mar2017";"30mar2021";2017-03-23;2021-03-30;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1917"
"NL_Azarkan_Farid_1971__2";"NL_Azarkan_Farid_1971";"Azarkan";"Farid";"16oct1971";"23mar2017";"30mar2021";2017-03-23;2021-03-30;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2017"
"NL_Azmani_Malik_1976__9";"NL_Azmani_Malik_1976";"Azmani";"Malik";"20jan1976";"17jun2010";"10jun2019";2010-06-17;2019-06-10;"NT_LE-LH_T3_NA_01";""
"NL_Baudet_Thierry_1983__3";"NL_Baudet_Thierry_1983";"Baudet";"Thierry";"28jan1983";"23mar2017";"30mar2021";2017-03-23;2021-03-30;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2017"
"NL_Becker_Bente_1985__1";"NL_Becker_Bente_1985";"Becker";"Bente";"12aug1985";"23mar2017";"30mar2021";2017-03-23;2021-03-30;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2017"
"NL_Beckerman_Sandra_1983__1";"NL_Beckerman_Sandra_1983";"Beckerman";"Sandra";"31mar1983";"23mar2017";"30mar2021";2017-03-23;2021-03-30;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2002"
"NL_Beertema_Harm_1952__8";"NL_Beertema_Harm_1952";"Beertema";"Harm";"09mar1952";"17jun2010";"30mar2021";2010-06-17;2021-03-30;"NT_LE-LH_T3_NA_01";""
"NL_Belhaj_Salima_1978__2";"NL_Belhaj_Salima_1978";"Belhaj";"Salima";"18oct1978";"23mar2017";"30mar2021";2017-03-23;2021-03-30;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2017"
"NL_Bergkamp_Vera_1971__16";"NL_Bergkamp_Vera_1971";"Bergkamp";"Vera";"01jun1971";"23mar2017";"30mar2021";2017-03-23;2021-03-30;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2017"
"NL_Bisschop_Roelof_1956__15";"NL_Bisschop_Roelof_1956";"Bisschop";"Roelof";"30nov1956";"23mar2017";"30mar2021";2017-03-23;2021-03-30;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2017"
"NL_Bosma_Martin_1964__19";"NL_Bosma_Martin_1964";"Bosma";"Martin";"16jul1964";"30nov2006";"30mar2021";2006-11-30;2021-03-30;"NT_LE-LH_T3_NA_01";""
"NL_Bosman_Andre_1965__36";"NL_Bosman_Andre_1965";"Bosman";"Andre";"20jan1965";"17jun2010";"30mar2021";2010-06-17;2021-03-30;"NT_LE-LH_T3_NA_01";""
"NL_Bouali_Achraf_1974__1";"NL_Bouali_Achraf_1974";"Bouali";"Achraf";"11jun1974";"23mar2017";"30mar2021";2017-03-23;2021-03-30;"NT_LE-LH_T3_NA_01";
"NL_Bromet_Laura_1970__1";"NL_Bromet_Laura_1970";"Bromet";"Laura";"17jan1970";"07jun2018";"30mar2021";2018-06-07;2021-03-30;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2017"
"NL_Bruins_Eppo_1969__2";"NL_Bruins_Eppo_1969";"Bruins";"Eppo";"19sep1969";"23mar2017";"30mar2021";2017-03-23;2021-03-30;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2017"
"NL_Bruins_Hanke_1977__11";"NL_Bruins_Hanke_1977";"Bruins-Slot";"Hanke";"20oct1977";"17jun2010";"04jun2019";2010-06-17;2019-06-04;"NT_LE-LH_T3_NA_01";""
