sep=;
"res_entry_id";"pers_id";"last_name";"first_name";"birth_date";"res_entry_start";"res_entry_end";"start_date";"end_date";"political_function";"parliament_id"
"NL_Ploeg_Henk_1894__14";"NL_Ploeg_Henk_1894";"Ploeg-jun";"Henk";"10may1894";"25sep1945";"03jun1946";1945-09-25;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1937"
"NL_vandenBorn_Henk_1889__11";"NL_vandenBorn_Henk_1889";"vandenBorn";"Henk";"10mar1889";"25sep1945";"02jul1956";1945-09-25;1956-07-02;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1905;NL_NT-TK_1909"
"NL_Wijkamp_Bernardus_1879__2";"NL_Wijkamp_Bernardus_1879";"Wijkamp";"Bernardus-Johannes-Josephus";"11mar1879";"25sep1945";"03jun1946";1945-09-25;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1945"
"NL_Burger_Jaap_1904__1";"NL_Burger_Jaap_1904";"Burger";"Jaap";"20aug1904";"20nov1945";"16sep1962";1945-11-20;1962-09-16;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1945;NL_NT-TK_1946;NL_NT-TK_1948;NL_NT-TK_1952;NL_NT-TK_1956;NL_NT-TK_1959"
"NL_deGroot_Paul_1899__30";"NL_deGroot_Paul_1899";"deGroot";"Paul";"19jul1899";"20nov1945";"01feb1966";1945-11-20;1966-02-01;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1977;NL_NT-TK_1981"
"NL_deKort_Wim_1909__13";"NL_deKort_Wim_1909";"deKort";"Wim";"04jun1909";"20nov1945";"14jul1952";1945-11-20;1952-07-14;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1989;NL_NT-TK_1994"
"NL_deRuiter_Jochem_1893__12";"NL_deRuiter_Jochem_1893";"deRuiter";"Jochem";"22mar1893";"20nov1945";"02jul1956";1945-11-20;1956-07-02;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1946"
"NL_deVink_Netty_1909__1";"NL_deVink_Netty_1909";"deVink";"Netty";"02sep1909";"20nov1945";"03jun1946";1945-11-20;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1945"
"NL_Goedhart_Frans_1904__14";"NL_Goedhart_Frans_1904";"Goedhart";"Frans";"25jan1904";"20nov1945";"03jun1946";1945-11-20;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1977"
"NL_Heertjes_Pieter_1907__7";"NL_Heertjes_Pieter_1907";"Heertjes";"Pieter";"18dec1907";"20nov1945";"03jun1946";1945-11-20;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1945"
"NL_Hofstra_Henk_1904__11";"NL_Hofstra_Henk_1904";"Hofstra";"Henk";"28sep1904";"20nov1945";"03jun1946";1945-11-20;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1909"
"NL_Jongen_Hub_1900__8";"NL_Jongen_Hub_1900";"Jongen";"Hub";"31jan1900";"20nov1945";"03jun1946";1945-11-20;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1946"
"NL_Korthals_Henk_1911__21";"NL_Korthals_Henk_1911";"Korthals";"Henk";"03jul1911";"20nov1945";"19may1959";1945-11-20;1959-05-19;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2003"
"NL_lePoole_Jaap_1914__5";"NL_lePoole_Jaap_1914";"lePoole";"Jaap";"21may1914";"20nov1945";"03jun1946";1945-11-20;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1945"
"NL_Palar_Nico_1900__8";"NL_Palar_Nico_1900";"Palar";"Nico";"05jun1900";"20nov1945";"22jul1947";1945-11-20;1947-07-22;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1901"
"NL_Receveur_Constant_1905__8";"NL_Receveur_Constant_1905";"Receveur";"Constantijn";"21may1905";"20nov1945";"03jun1946";1945-11-20;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1981;NL_NT-TK_1982;NL_NT-TK_1986;NL_NT-TK_1989"
"NL_Schmal_Jan_1894__17";"NL_Schmal_Jan_1894";"Schmal";"Jan";"24feb1894";"20nov1945";"04jun1963";1945-11-20;1963-06-04;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1945;NL_NT-TK_1946;NL_NT-TK_1948;NL_NT-TK_1952;NL_NT-TK_1956;NL_NT-TK_1959"
"NL_Smallenbroek_Jan_1909__24";"NL_Smallenbroek_Jan_1909";"Smallenbroek";"Jan";"21feb1909";"20nov1945";"03jun1946";1945-11-20;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1901;NL_NT-TK_1905;NL_NT-TK_1909"
"NL_Soegondo_Setyadjit_1907__1";"NL_Soegondo_Setyadjit_1907";"RadenMas-Setyadjit-Soegondo";"E";"07jun1907";"20nov1945";"03jun1946";1945-11-20;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1945"
"NL_Tendeloo_Corry_1897__11";"NL_Tendeloo_Corry_1897";"Tendeloo";"Corry";"03sep1897";"20nov1945";"18oct1956";1945-11-20;1956-10-18;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1986"
"NL_tenHagen_Kees_1904__9";"NL_tenHagen_Kees_1904";"tenHagen";"Kees";"19nov1904";"20nov1945";"11mar1957";1945-11-20;1957-03-11;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1981;NL_NT-TK_1982;NL_NT-TK_1986;NL_NT-TK_1989;NL_NT-TK_1994;NL_NT-TK_1998"
"NL_vanBochove_Jan_1897__9";"NL_vanBochove_Jan_1897";"vanBochove";"Jan";"26mar1897";"20nov1945";"03jun1946";1945-11-20;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1945"
"NL_vanderBrug_Rintje_1884__15";"NL_vanderBrug_Rintje_1884";"vanderBrug";"Rintje";"03aug1884";"20nov1945";"14jul1952";1945-11-20;1952-07-14;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1971;NL_NT-TK_1972;NL_NT-TK_1977;NL_NT-TK_1981;NL_NT-TK_1982"
"NL_vanKuilenburg_Herman_1898__14";"NL_vanKuilenburg_Herman_1898";"vanKuilenburg";"Herman";"20jun1898";"20nov1945";"03jun1946";1945-11-20;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2003"
"NL_vanVelthoven_Huub_1896__7";"NL_vanVelthoven_Huub_1896";"vanVelthoven";"Huub";"07mar1896";"20nov1945";"03jun1946";1945-11-20;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1986;NL_NT-TK_1989"
"NL_Wagenaar_Gerben_1912__18";"NL_Wagenaar_Gerben_1912";"Wagenaar";"Gerben";"27sep1912";"20nov1945";"19mar1959";1945-11-20;1959-03-19;"NT_LE-LH_T3_NA_01";"NL_NT-TK_2010"
"NL_Wttewaall_Bob_1901__10";"NL_Wttewaall_Bob_1901";"Wttewaall-vanStoetwegen";"Bob";"01jan1901";"20nov1945";"10may1971";1945-11-20;1971-05-10;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1971"
"NL_Vlam_Jan_1905__11";"NL_Vlam_Jan_1905";"Vlam";"Jan";"13mar1905";"22nov1945";"03jun1946";1945-11-22;1946-06-03;"NT_LE-LH_T3_NA_01";"NL_NT-TK_1971;NL_NT-TK_1972"
