sep=;
"res_entry_id";"pers_id";"last_name";"first_name";"birth_date";"res_entry_start";"res_entry_end";"start_date";"end_date";"political_function";"parliament_id"
"NO_Aasen_Marianne_1967__1";"NO_Aasen_Marianne_1967";"Aasen";"Marianne";"21feb1967";"30sep2005";"29sep2009";2005-09-30;2009-09-29;"NT_LE_T3_NA_01";"NO_NT_2005"
"NO_Aasland_Terje_1965__1";"NO_Aasland_Terje_1965";"Aasland";"Terje";"15feb1965";"30sep2005";"29sep2009";2005-09-30;2009-09-29;"NT_LE_T3_NA_01";"NO_NT_2005"
"NO_Akselsen_Olav_1965__5";"NO_Akselsen_Olav_1965";"Akselsen";"Olav";"28aug1965";"30sep2005";"29sep2009";2005-09-30;2009-09-29;"NT_LE_T3_NA_01";"NO_NT_2005"
"NO_Amundsen_Per-Willy_1971__3";"NO_Amundsen_Per-Willy_1971";"Amundsen";"Per-Willy";"21jan1971";"30sep2005";"29sep2009";2005-09-30;2009-09-29;"NT_LE_T3_NA_01";"NO_NT_2005"
"NO_Andersen_Dag-Terje_1957__7";"NO_Andersen_Dag-Terje_1957";"Andersen";"Dag-Terje";"27may1957";"30sep2005";"28sep2006";2005-09-30;2006-09-28;"NT_LE_T3_NA_01";"NO_NT_2005"
"NO_Andersen_Karin_1952__4";"NO_Andersen_Karin_1952";"Andersen";"Karin";"16dec1952";"30sep2005";"29sep2009";2005-09-30;2009-09-29;"NT_LE_T3_NA_01";"NO_NT_2005"
"NO_Andersen_Torbjoern_1957__3";"NO_Andersen_Torbjoern_1957";"Andersen";"Torbjoern";"05jan1957";"30sep2005";"29sep2009";2005-09-30;2009-09-29;"NT_LE_T3_NA_01";"NO_NT_2005"
"NO_Anundsen_Anders_1975__3";"NO_Anundsen_Anders_1975";"Anundsen";"Anders";"17nov1975";"30sep2005";"29sep2009";2005-09-30;2009-09-29;"NT_LE_T3_NA_01";"NO_NT_2005"
"NO_Arnesen_Bendiks-H_1951__5";"NO_Arnesen_Bendiks-H_1951";"Arnesen";"Bendiks-H";"09jun1951";"30sep2005";"29sep2009";2005-09-30;2009-09-29;"NT_LE_T3_NA_01";"NO_NT_2005"
"NO_Asmyhr_Hans-Frode-Kielland_1970__1";"NO_Asmyhr_Hans-Frode-Kielland_1970";"Asmyhr";"Hans-Frode-Kielland";"26feb1970";"30sep2005";"29sep2009";2005-09-30;2009-09-29;"NT_LE_T3_NA_01";"NO_NT_2005"
"NO_Aspaker_Elisabeth-Vik_1962__4";"NO_Aspaker_Elisabeth-Vik_1962";"Aspaker";"Elisabeth-Vik";"16oct1962";"30sep2005";"29sep2009";2005-09-30;2009-09-29;"NT_LE_T3_NA_01";"NO_NT_2005"
"NO_Asphjell_Jorodd_1960__1";"NO_Asphjell_Jorodd_1960";"Asphjell";"Jorodd";"17jul1960";"30sep2005";"29sep2009";2005-09-30;2009-09-29;"NT_LE_T3_NA_01";"NO_NT_2005"
"NO_Ballo_Olav-Gunnar_1956__4";"NO_Ballo_Olav-Gunnar_1956";"Ballo";"Olav-Gunnar";"22oct1956";"30sep2005";"29sep2009";2005-09-30;2009-09-29;"NT_LE_T3_NA_01";"NO_NT_2005"
"NO_Bekkemellem_Karita_1965__6";"NO_Bekkemellem_Karita_1965";"Bekkemellem";"Karita";"15jan1965";"30sep2005";"16oct2005";2005-09-30;2005-10-16;"NT_LE_T3_NA_01";"NO_NT_2005"
